Bill-to party,Bill-to Country,Bill-to Customer Updated in APX,sap channel,sap channel name
GR0123,Greece,,#,Not assigned
GR0193,Greece,,#,Not assigned
GR0290,Greece,,#,Not assigned
GR0618,Greece,,#,Not assigned
GR0669,Greece,,#,Not assigned
GR0977,Greece,,#,Not assigned
GR1167,Greece,,#,Not assigned
GR1201,Greece,,#,Not assigned
GR1370,Greece,,#,Not assigned
GR1694,Greece,,#,Not assigned
GR1739,Greece,,#,Not assigned
GR1744,Greece,,#,Not assigned
GR1861,Greece,,#,Not assigned
GR2102,Greece,,#,Not assigned
GR2392,Greece,,#,Not assigned
GR2519,Greece,,#,Not assigned
GR2629,Greece,,#,Not assigned
GR2753,Greece,,#,Not assigned
GR2774,Greece,,#,Not assigned
GR2826,Greece,,#,Not assigned
GR2847,Greece,,#,Not assigned
GR2898,Greece,,#,Not assigned
GR2902,Greece,,#,Not assigned
GR2984,Greece,,#,Not assigned
GR3011,Greece,,#,Not assigned
GR3117,Greece,,#,Not assigned
GR3140,Greece,,#,Not assigned
GR3164,Greece,,#,Not assigned
GR3294,Greece,,#,Not assigned
GR3312,Greece,,#,Not assigned
GR3325,Greece,,#,Not assigned
GR3344,Greece,,#,Not assigned
GR3455,Greece,,#,Not assigned
GR3510,Greece,,#,Not assigned
GR3519,Greece,,#,Not assigned
GR3554,Greece,,#,Not assigned
GR3598,Greece,,#,Not assigned
GR3622,Greece,,#,Not assigned
GR3743,Greece,,#,Not assigned
GR3781,Greece,,#,Not assigned
GR3808,Greece,,#,Not assigned
GR3873,Greece,,#,Not assigned
GR3875,Greece,,#,Not assigned
GR3909,Greece,,#,Not assigned
GR4154,Greece,,#,Not assigned
GR4159,Greece,,#,Not assigned
GR4175,Greece,,#,Not assigned
GR4228,Greece,,#,Not assigned
GR4286,Greece,,#,Not assigned
GR4287,Greece,,#,Not assigned
GR4291,Greece,,#,Not assigned
GR4318,Greece,,#,Not assigned
GR4323,Greece,,#,Not assigned
GR4326,Greece,,#,Not assigned
GR4329,Greece,,#,Not assigned
GR4331,Greece,,#,Not assigned
GR4332,Greece,,#,Not assigned
GR4333,Greece,,#,Not assigned
GR4334,Greece,,#,Not assigned
GR4335,Greece,,#,Not assigned
GR4338,Greece,,#,Not assigned
GR4340,Greece,,#,Not assigned
GR4341,Greece,,#,Not assigned
GR4348,Greece,,#,Not assigned
GR4350,Greece,,#,Not assigned
GR4351,Greece,,#,Not assigned
GR4352,Greece,,#,Not assigned
GR4353,Greece,,#,Not assigned
GR4358,Greece,,#,Not assigned
GR4361,Greece,,#,Not assigned
GR4364,Greece,,#,Not assigned
GR4365,Greece,,#,Not assigned
GR4366,Greece,,#,Not assigned
GR4367,Greece,,#,Not assigned
GR4370,Greece,,#,Not assigned
GR4372,Greece,,#,Not assigned
GR4373,Greece,,#,Not assigned
GR4377,Greece,,#,Not assigned
GR4385,Greece,,#,Not assigned
GR4386,Greece,,#,Not assigned
GR4387,Greece,,#,Not assigned
GR4390,Greece,,#,Not assigned
GR4392,Greece,,#,Not assigned
GR4396,Greece,,#,Not assigned
GR4398,Greece,,#,Not assigned
GR4399,Greece,,#,Not assigned
GR4400,Greece,,#,Not assigned
GR4401,Greece,,#,Not assigned
GR4402,Greece,,#,Not assigned
GR4403,Greece,,#,Not assigned
GR4404,Greece,,#,Not assigned
GR4407,Greece,,#,Not assigned
GR4408,Greece,,#,Not assigned
GR4409,Greece,,#,Not assigned
GR4411,Greece,,#,Not assigned
GR4413,Greece,,#,Not assigned
GR4414,Greece,,#,Not assigned
GR4417,Greece,,#,Not assigned
GR4420,Greece,,#,Not assigned
GR4422,Greece,,#,Not assigned
GR4424,Greece,,#,Not assigned
GR4425,Greece,,#,Not assigned
GR4426,Greece,,#,Not assigned
GR4430,Greece,,#,Not assigned
GR4435,Greece,,#,Not assigned
GR4438,Greece,,#,Not assigned
GR4448,Greece,,#,Not assigned
GR4459,Greece,,#,Not assigned
GR4460,Greece,,#,Not assigned
GR4471,Greece,,#,Not assigned
GR4483,Greece,,#,Not assigned
GR4490,Greece,,#,Not assigned
GR4495,Greece,,#,Not assigned
GR4505,Greece,,#,Not assigned
GR4523,Greece,,#,Not assigned
GR4558,Greece,,#,Not assigned
GR4604,Greece,,#,Not assigned
GR4606,Greece,,#,Not assigned
GR4611,Greece,,#,Not assigned
GR4649,Greece,,#,Not assigned
GR4654,Greece,,#,Not assigned
GR4659,Greece,,#,Not assigned
GR4661,Greece,,#,Not assigned
GR4672,Greece,,#,Not assigned
GR4689,Greece,,#,Not assigned
GR4693,Greece,,#,Not assigned
GR4696,Greece,,#,Not assigned
GR4703,Greece,,#,Not assigned
GR4713,Greece,,#,Not assigned
GR4716,Greece,,#,Not assigned
GR4727,Greece,,#,Not assigned
GR4740,Greece,,#,Not assigned
GR4741,Greece,,#,Not assigned
GR4747,Greece,,#,Not assigned
GR4759,Greece,,#,Not assigned
GR4771,Greece,,#,Not assigned
GR4772,Greece,,#,Not assigned
GR4774,Greece,,#,Not assigned
GR4775,Greece,,#,Not assigned
GR4776,Greece,,#,Not assigned
GR4786,Greece,,#,Not assigned
GR4788,Greece,,#,Not assigned
GR4795,Greece,,#,Not assigned
GR4804,Greece,,#,Not assigned
GR4807,Greece,,#,Not assigned
GR4814,Greece,,#,Not assigned
GR4828,Greece,,#,Not assigned
GR4832,Greece,,#,Not assigned
GR4845,Greece,,#,Not assigned
GR4855,Greece,,#,Not assigned
GR4857,Greece,,#,Not assigned
GR4858,Greece,,#,Not assigned
GR4863,Greece,,#,Not assigned
GR4867,Greece,,#,Not assigned
GR4877,Greece,,#,Not assigned
GR4879,Greece,,#,Not assigned
GR4903,Greece,,#,Not assigned
GR4911,Greece,,#,Not assigned
GR4916,Greece,,#,Not assigned
GR4939,Greece,,#,Not assigned
GR4940,Greece,,#,Not assigned
GR4962,Greece,,#,Not assigned
GR4977,Greece,,#,Not assigned
GR4985,Greece,,#,Not assigned
GR5011,Greece,,#,Not assigned
GR5015,Greece,,#,Not assigned
GR5027,Greece,,#,Not assigned
GR5031,Greece,,#,Not assigned
GR5035,Greece,,#,Not assigned
GR5089,Greece,,#,Not assigned
GR5109,Greece,,#,Not assigned
GR5120,Greece,,#,Not assigned
GR5135,Greece,,#,Not assigned
GR5140,Greece,,#,Not assigned
GR5157,Greece,,#,Not assigned
GR5175,Greece,,#,Not assigned
GR5176,Greece,,#,Not assigned
GR5179,Greece,,#,Not assigned
GR5180,Greece,,#,Not assigned
GR5198,Greece,,#,Not assigned
GR5209,Greece,,#,Not assigned
GR5213,Greece,,#,Not assigned
GR5217,Greece,,#,Not assigned
GR5225,Greece,,#,Not assigned
GR5228,Greece,,#,Not assigned
GR5229,Greece,,#,Not assigned
GR5232,Greece,,#,Not assigned
GR5235,Greece,,#,Not assigned
GR5240,Greece,,#,Not assigned
GR5243,Greece,,#,Not assigned
GR5246,Greece,,#,Not assigned
GR5253,Greece,,#,Not assigned
GR5255,Greece,,#,Not assigned
GR5264,Greece,,#,Not assigned
GR5268,Greece,,#,Not assigned
GR5272,Greece,,#,Not assigned
GR5303,Greece,,#,Not assigned
GR5317,Greece,,#,Not assigned
GR5328,Greece,,#,Not assigned
GR5329,Greece,,#,Not assigned
GR5333,Greece,,#,Not assigned
GR5341,Greece,,#,Not assigned
GR5342,Greece,,#,Not assigned
GR5345,Greece,,#,Not assigned
GR5354,Greece,,#,Not assigned
GR5355,Greece,,#,Not assigned
GR5363,Greece,,#,Not assigned
GR5367,Greece,,#,Not assigned
GR5368,Greece,,#,Not assigned
GR5369,Greece,,#,Not assigned
GR5370,Greece,,#,Not assigned
GR5378,Greece,,#,Not assigned
GR5397,Greece,,#,Not assigned
GR5400,Greece,,#,Not assigned
GR5429,Greece,,#,Not assigned
GR5445,Greece,,#,Not assigned
GR5453,Greece,,#,Not assigned
GR5466,Greece,,#,Not assigned
GR5474,Greece,,#,Not assigned
GR5480,Greece,,#,Not assigned
GR5482,Greece,,#,Not assigned
GR5486,Greece,,#,Not assigned
GR5490,Greece,,#,Not assigned
GR5499,Greece,,#,Not assigned
GR5502,Greece,,#,Not assigned
GR5505,Greece,,#,Not assigned
GR5514,Greece,,#,Not assigned
GR5521,Greece,,#,Not assigned
GR5523,Greece,,#,Not assigned
GR5528,Greece,,#,Not assigned
GR5541,Greece,,#,Not assigned
GR5547,Greece,,#,Not assigned
GR5553,Greece,,#,Not assigned
GR5558,Greece,,#,Not assigned
GR5561,Greece,,#,Not assigned
GR5567,Greece,,#,Not assigned
GR5572,Greece,,#,Not assigned
GR5579,Greece,,#,Not assigned
GR5589,Greece,,#,Not assigned
GR5601,Greece,,#,Not assigned
GR5602,Greece,,#,Not assigned
GR5618,Greece,,#,Not assigned
GR5623,Greece,,#,Not assigned
GR5649,Greece,,#,Not assigned
GR5658,Greece,,#,Not assigned
GR5661,Greece,,#,Not assigned
GR5664,Greece,,#,Not assigned
GR5666,Greece,,#,Not assigned
GR5667,Greece,,#,Not assigned
GR5673,Greece,,#,Not assigned
GR5687,Greece,,#,Not assigned
GR5693,Greece,,#,Not assigned
GR5698,Greece,,#,Not assigned
GR5708,Greece,,#,Not assigned
GR5709,Greece,,#,Not assigned
GR5715,Greece,,#,Not assigned
GR5717,Greece,,#,Not assigned
GR5721,Greece,,#,Not assigned
GR5722,Greece,,#,Not assigned
GR5723,Greece,,#,Not assigned
GR5724,Greece,,#,Not assigned
GR5733,Greece,,#,Not assigned
GR5746,Greece,,#,Not assigned
GR5747,Greece,,#,Not assigned
GR5750,Greece,,#,Not assigned
GR5751,Greece,,#,Not assigned
GR5752,Greece,,#,Not assigned
GR5754,Greece,,#,Not assigned
GR5758,Greece,,#,Not assigned
GR5762,Greece,,#,Not assigned
GR5763,Greece,,#,Not assigned
GR5764,Greece,,#,Not assigned
GR5767,Greece,,#,Not assigned
GR5774,Greece,,#,Not assigned
GR5782,Greece,,#,Not assigned
GR5788,Greece,,#,Not assigned
GR5793,Greece,,#,Not assigned
GR5798,Greece,,#,Not assigned
GR5811,Greece,,#,Not assigned
GR5829,Greece,,#,Not assigned
GR5836,Greece,,#,Not assigned
GR5837,Greece,,#,Not assigned
GR5838,Greece,,#,Not assigned
GR5839,Greece,,#,Not assigned
GR5842,Greece,,#,Not assigned
GR5843,Greece,,#,Not assigned
GR5844,Greece,,#,Not assigned
GR5848,Greece,,#,Not assigned
GR5859,Greece,,#,Not assigned
GR5861,Greece,,#,Not assigned
GR5865,Greece,,#,Not assigned
GR5866,Greece,,#,Not assigned
GR5873,Greece,,#,Not assigned
GR5875,Greece,,#,Not assigned
GR5877,Greece,,#,Not assigned
GR5880,Greece,,#,Not assigned
GR5881,Greece,,#,Not assigned
GR5882,Greece,,#,Not assigned
GR5886,Greece,,#,Not assigned
GR5887,Greece,,#,Not assigned
GR5893,Greece,,#,Not assigned
GR5895,Greece,,#,Not assigned
GR5906,Greece,,#,Not assigned
GR5907,Greece,,#,Not assigned
GR5909,Greece,,#,Not assigned
GR5916,Greece,,#,Not assigned
GR5917,Greece,,#,Not assigned
GR5918,Greece,,#,Not assigned
GR5919,Greece,,#,Not assigned
GR5920,Greece,,#,Not assigned
GR5926,Greece,,#,Not assigned
GR5928,Greece,,#,Not assigned
GR5938,Greece,,#,Not assigned
GR5939,Greece,,#,Not assigned
GR5940,Greece,,#,Not assigned
GR5941,Greece,,#,Not assigned
GR5943,Greece,,#,Not assigned
GR5945,Greece,,#,Not assigned
GR5947,Greece,,#,Not assigned
GR5957,Greece,,#,Not assigned
GR5958,Greece,,#,Not assigned
GR5963,Greece,,#,Not assigned
GR5967,Greece,,#,Not assigned
GR5969,Greece,,#,Not assigned
GR5972,Greece,,#,Not assigned
GR5973,Greece,,#,Not assigned
GR5974,Greece,,#,Not assigned
GR5976,Greece,,#,Not assigned
GR5977,Greece,,#,Not assigned
GR5981,Greece,,#,Not assigned
GR5982,Greece,,#,Not assigned
GR5985,Greece,,#,Not assigned
GR5987,Greece,,#,Not assigned
GR5993,Greece,,#,Not assigned
GR5994,Greece,,#,Not assigned
GR5997,Greece,,#,Not assigned
GR5998,Greece,,#,Not assigned
GR6000,Greece,,#,Not assigned
GR6001,Greece,,#,Not assigned
GR6003,Greece,,#,Not assigned
GR6005,Greece,,#,Not assigned
GR6006,Greece,,#,Not assigned
GR6007,Greece,,#,Not assigned
GR6008,Greece,,#,Not assigned
GR6009,Greece,,#,Not assigned
GR6011,Greece,,#,Not assigned
GR6012,Greece,,#,Not assigned
GR6014,Greece,,#,Not assigned
GR6015,Greece,,#,Not assigned
GR6016,Greece,,#,Not assigned
GR6019,Greece,,#,Not assigned
GR6021,Greece,,#,Not assigned
GR6027,Greece,,#,Not assigned
GR6029,Greece,,#,Not assigned
GR6030,Greece,,#,Not assigned
GR6031,Greece,,#,Not assigned
GR6032,Greece,,#,Not assigned
GR6035,Greece,,#,Not assigned
GR6039,Greece,,#,Not assigned
GR6041,Greece,,#,Not assigned
GR6045,Greece,,#,Not assigned
GR6046,Greece,,#,Not assigned
GR6049,Greece,,#,Not assigned
GR6054,Greece,,#,Not assigned
GR6055,Greece,,#,Not assigned
GR6059,Greece,,#,Not assigned
GR6060,Greece,,#,Not assigned
GR6062,Greece,,#,Not assigned
GR6063,Greece,,#,Not assigned
GR6064,Greece,,#,Not assigned
GR6065,Greece,,#,Not assigned
GR6067,Greece,,#,Not assigned
GR6068,Greece,,#,Not assigned
GR6070,Greece,,#,Not assigned
GR6072,Greece,,#,Not assigned
GR6076,Greece,,#,Not assigned
GR6079,Greece,,#,Not assigned
GR6081,Greece,,#,Not assigned
GR6082,Greece,,#,Not assigned
GR6084,Greece,,#,Not assigned
GR6085,Greece,,#,Not assigned
GR6091,Greece,,#,Not assigned
GR6092,Greece,,#,Not assigned
GR6093,Greece,,#,Not assigned
GR6095,Greece,,#,Not assigned
GR6096,Greece,,#,Not assigned
GR6099,Greece,,#,Not assigned
GR6100,Greece,,#,Not assigned
GR6172,Greece,,#,Not assigned
GR6291,Greece,,#,Not assigned
GR6368,Greece,,#,Not assigned
GR7270,Greece,,#,Not assigned
GR8159,Greece,,#,Not assigned
GR8567,Greece,,#,Not assigned
GR9143,Greece,,#,Not assigned
GR9305,Greece,,#,Not assigned
GR2181,Greece,Indirect Sales (Dealer),01,Dealer
GR2505,Greece,Indirect Sales (Dealer),01,Dealer
GR5806,Greece,Indirect Sales (Dealer),01,Dealer
GR5900,Greece,Indirect Sales (Dealer),01,Dealer
GR5905,Greece,Indirect Sales (Dealer),01,Dealer
3036239,Chile,Indirect Sales (Dealer),01,Dealer
3036240,Chile,Indirect Sales (Dealer),01,Dealer
3042249,Chile,Indirect Sales (Dealer),01,Dealer
3044451,Chile,Indirect Sales (Dealer),01,Dealer
3044452,Chile,,01,Dealer
2020759,Chile,,#,Not assigned
2022342,Chile,,#,Not assigned
2022455,Chile,,#,Not assigned
2022713,Chile,,#,Not assigned
2023439,Chile,,#,Not assigned
2024375,Chile,,#,Not assigned
2024395,Chile,,#,Not assigned
2024586,Chile,,#,Not assigned
2024946,Chile,,#,Not assigned
2025377,Chile,,#,Not assigned
2025476,Chile,,#,Not assigned
2025564,Chile,,#,Not assigned
2025673,Chile,,#,Not assigned
2025902,Chile,,#,Not assigned
2027459,Chile,,#,Not assigned
2027858,Chile,,#,Not assigned
2027995,Chile,,#,Not assigned
2028994,Chile,,#,Not assigned
2029159,Chile,,#,Not assigned
2029247,Chile,,#,Not assigned
2029774,Chile,,#,Not assigned
2030211,Chile,,#,Not assigned
2030643,Chile,,#,Not assigned
2030669,Chile,,#,Not assigned
2030920,Chile,,#,Not assigned
2030946,Chile,,#,Not assigned
2031067,Chile,,#,Not assigned
2031075,Chile,,#,Not assigned
2031135,Chile,,#,Not assigned
2031647,Chile,,#,Not assigned
2032452,Chile,,#,Not assigned
2032511,Chile,,#,Not assigned
3036185,Chile,,#,Not assigned
3036187,Chile,,#,Not assigned
3036189,Chile,,#,Not assigned
3036234,Chile,,#,Not assigned
3036243,Chile,,#,Not assigned
3036244,Chile,,#,Not assigned
3036245,Chile,,#,Not assigned
3036247,Chile,,#,Not assigned
3036248,Chile,,#,Not assigned
3036249,Chile,,#,Not assigned
3036250,Chile,,#,Not assigned
3036255,Chile,,#,Not assigned
3039511,Chile,,#,Not assigned
3039526,Chile,,#,Not assigned
3039537,Chile,,#,Not assigned
3040150,Chile,,#,Not assigned
3043043,Chile,,#,Not assigned
3043323,Chile,,#,Not assigned
3059459,Chile,,#,Not assigned
3062756,Chile,,#,Not assigned
3064898,Chile,,#,Not assigned
3068381,Chile,,#,Not assigned
3073352,Chile,,#,Not assigned
3073358,Chile,,#,Not assigned
3078166,Chile,,#,Not assigned
3086590,Chile,,#,Not assigned
3086677,Chile,,#,Not assigned
3086983,Chile,,#,Not assigned
3090108,Chile,,#,Not assigned
3093451,Chile,,#,Not assigned
3095958,Chile,,#,Not assigned
3098515,Chile,,#,Not assigned
3099867,Chile,,#,Not assigned
3101117,Chile,,#,Not assigned
3101476,Chile,,#,Not assigned
3102120,Chile,,#,Not assigned
3102370,Chile,,#,Not assigned
3102589,Chile,,#,Not assigned
3102938,Chile,,#,Not assigned
3104257,Chile,,#,Not assigned
3501603,Chile,,#,Not assigned
3507601,Chile,,#,Not assigned
3508486,Chile,,#,Not assigned
3508858,Chile,,#,Not assigned
3508989,Chile,,#,Not assigned
3509271,Chile,,#,Not assigned
3511433,Chile,,#,Not assigned
3512344,Chile,,#,Not assigned
3514613,Chile,,#,Not assigned
3515498,Chile,,#,Not assigned
3515624,Chile,,#,Not assigned
3515821,Chile,,#,Not assigned
3516675,Chile,,#,Not assigned
2011246,Nicaragua,Indirect Sales (Dealer),01,Dealer
2011252,Ecuador,Indirect Sales (Dealer),01,Dealer
2011453,Guatemala,Indirect Sales (Dealer),01,Dealer
2011458,Panama,Indirect Sales (Dealer),01,Dealer
2011656,Dominican Rep.,Indirect Sales (Dealer),01,Dealer
2011744,Peru,Indirect Sales (Dealer),01,Dealer
2016732,Guatemala,Indirect Sales (Dealer),01,Dealer
2016925,Ecuador,SAP flags Dealer,01,Dealer
2020299,Colombia,,#,Not assigned
2020617,Colombia,,#,Not assigned
2021623,Colombia,,#,Not assigned
2023426,Colombia,,#,Not assigned
2024268,Colombia,,#,Not assigned
2024486,Colombia,,#,Not assigned
2025649,Colombia,,#,Not assigned
2026057,Trinidad;Tobago,,#,Not assigned
2026546,Colombia,,#,Not assigned
2026733,Colombia,,#,Not assigned
2026769,Peru,,#,Not assigned
2026859,Colombia,,#,Not assigned
2027280,Colombia,,#,Not assigned
2028244,Colombia,,#,Not assigned
2029593,Colombia,,#,Not assigned
2029642,Colombia,,#,Not assigned
2029932,Colombia,,#,Not assigned
2031006,Peru,,#,Not assigned
2031082,Peru,,#,Not assigned
2031153,Colombia,,#,Not assigned
2031838,Trinidad;Tobago,,01,Dealer
2031862,Peru,,01,Dealer
2032804,Peru,,#,Not assigned
2033242,Colombia,,#,Not assigned
3036171,Colombia,,#,Not assigned
3036176,Colombia,,#,Not assigned
3036179,Colombia,,#,Not assigned
3036198,Peru,,#,Not assigned
3036199,Peru,,#,Not assigned
3036206,Peru,,#,Not assigned
3036210,Colombia,,#,Not assigned
3036212,Colombia,,#,Not assigned
3036217,Colombia,,#,Not assigned
3036219,Colombia,,#,Not assigned
3036225,Colombia,Indirect Sales (Dealer),01,Dealer
3039267,Colombia,,#,Not assigned
3039509,Colombia,,#,Not assigned
3040124,Colombia,,#,Not assigned
3041799,Falkland Islnds,,#,Not assigned
3042217,Colombia,,#,Not assigned
3042426,Peru,,#,Not assigned
3042427,Peru,,#,Not assigned
3044613,Peru,,#,Not assigned
3044914,Colombia,,#,Not assigned
3059458,Peru,,#,Not assigned
3060664,Bolivia,Indirect Sales (Dealer),01,Dealer
3061019,Peru,,#,Not assigned
3061180,Peru,,#,Not assigned
3065160,Peru,,#,Not assigned
3077778,Colombia,,#,Not assigned
3084048,Peru,,#,Not assigned
3085794,Peru,Indirect Sales (Dealer),01,Dealer
3085799,Peru,,#,Not assigned
3086337,Trinidad;Tobago,Indirect Sales (Dealer),01,Dealer
3086951,Panama,SAP flags Dealer,01,Dealer
3090232,Peru,,#,Not assigned
3090576,Colombia,,#,Not assigned
3093894,Bolivia,Indirect Sales (Dealer),01,Dealer
3095387,Colombia,,#,Not assigned
3098786,Peru,,#,Not assigned
3099296,Peru,,#,Not assigned
3099586,Colombia,,#,Not assigned
3099818,Peru,,#,Not assigned
3100666,Peru,Indirect Sales (Dealer),01,Dealer
3100974,Colombia,,#,Not assigned
3100995,Colombia,,#,Not assigned
3103217,Colombia,,#,Not assigned
3500534,El Salvador,Indirect Sales (Dealer),01,Dealer
3501525,Colombia,,#,Not assigned
3501808,Colombia,,#,Not assigned
3501933,Peru,,#,Not assigned
3501934,Brazil,,#,Not assigned
3501935,Peru,,#,Not assigned
3502263,Peru,,#,Not assigned
3503319,Colombia,Indirect Sales (Dealer),01,Dealer
3503484,Colombia,,#,Not assigned
3505934,Colombia,,#,Not assigned
3506181,Colombia,,#,Not assigned
3506788,Peru,,#,Not assigned
3506791,Guatemala,Indirect Sales (Dealer),01,Dealer
3509002,Colombia,,#,Not assigned
3509147,Colombia,,#,Not assigned
3509690,Colombia,,#,Not assigned
3509750,Colombia,,#,Not assigned
3509940,Colombia,,#,Not assigned
3512239,Colombia,,#,Not assigned
3512550,Colombia,,#,Not assigned
3512748,Colombia,,#,Not assigned
3513378,Peru,,#,Not assigned
3513706,Colombia,,#,Not assigned
3513707,Colombia,,#,Not assigned
3513847,Colombia,,#,Not assigned
3515051,Colombia,,#,Not assigned
3515623,Peru,Indirect Sales (Dealer),01,Dealer
3516017,Costa Rica,Indirect Sales (Dealer),01,Dealer
3516548,Peru,Indirect Sales (Dealer),01,Dealer
3516946,Peru,,#,Not assigned
3517180,Colombia,,#,Not assigned
3517455,Honduras,Indirect Sales (Dealer),01,Dealer
3517667,Colombia,,#,Not assigned
3315901178,Argentina,,#,Not assigned
GR4628,Cyprus,Indirect Sales (Dealer),01,Dealer
JP183105,Japan,,#,Not assigned
#,Not assigned,,#,Not assigned
